
Cutoff distance for the list =      2.70000

List of neighbours of atom =     1
   Position of atom     1 =     -2.39273    -2.42260    -2.57073
   Number of neighbours    =    65
   Index       Position (reduced units)    Distance (reduced units)
   32     0.05629     0.91551    -1.74642     2.05515
   33     0.73989     0.97507    -2.61139     2.27594
   34     1.68639     1.78375    -2.46141     2.58251
   35     0.86343     1.82123    -1.82194     2.03232
   37    -2.52446    -2.51491    -0.77917     2.39752
   38    -1.60727    -1.55964    -1.08527     1.85843
   40    -1.78655    -2.49362     0.03613     2.62676
   41    -0.84896    -2.44362    -0.60189     1.93231
   42     0.10174    -1.77220    -0.68149     2.21642
   43    -0.82126    -1.61315     0.08127     2.57461
   44    -0.01323    -2.53705     0.15677     2.50784
   45     0.81763    -2.53090    -0.81752     2.42188
   53    -0.73527    -0.80314    -0.85412     2.37673
   62    -1.66666     1.65655    -0.66997     2.21194
   65    -0.70898     0.89370    -0.93173     2.31911
   66     0.02312     1.68759    -0.79905     2.14614
   67    -0.71987     1.61456     0.07900     2.60999
   73    -2.46985    -2.50876     0.92771     2.23242
   74    -1.74452    -1.72551     0.93666     1.93799
   75    -2.59860    -1.63568     1.70078     2.06725
   76    -1.70934    -2.50961     1.63362     1.19630
   77    -0.88477    -2.55197     0.81920     1.68779
   78    -0.02695    -1.66417     0.90452     1.99266
   79    -0.82511    -1.70314     1.55124     1.23075
   80    -0.05181    -2.60902     1.53442     1.28981
   81     0.81586    -2.48541     0.91677     2.33150
   83     0.82472    -1.77330     1.68748     2.02678
   84     1.77061    -2.52949     1.73772     2.49888
   88    -1.64017    -0.79619     1.61875     2.04345
   89    -0.60307    -0.62585     0.81582     2.52330
   91    -0.68461     0.00855     1.67211     2.63036
   92    -0.00114    -0.95411     1.79835     1.90074
   98    -1.70362     1.74198     0.77696     2.07821
   99    -2.47450     1.51018     1.76875     2.03844
  100    -1.64417     0.58000     1.44096     2.37168
  101    -0.72692     0.74099     0.78345     2.51079
  102     0.05635     1.67028     0.80977     2.13662
  103    -0.84826     1.66708     1.54481     1.31281
  104    -0.08748     0.81521     1.75765     2.06200
  107     0.87042     1.62857     1.51847     2.22368

List of neighbours of atom =     6
   Position of atom     6 =     -0.02695    -1.72484    -2.51059
   Number of neighbours    =    61
   Index       Position (reduced units)    Distance (reduced units)
    7    -0.75199    -1.42334    -1.71307     1.11921
    8    -0.00409    -2.60286    -1.72350     1.17939
    9     0.61491    -2.58963    -2.67224     1.08902
   10     1.70229    -1.76287    -2.48345     1.72987
   11     0.86774    -1.75363    -1.60462     1.27361
   12     1.71689    -2.54461    -1.55753     2.14973
   13    -2.53952    -0.89073    -2.40280     2.64960
   14    -1.82498    -0.05379    -2.68761     2.46103
   16    -1.74249    -0.59686    -1.71990     2.20014
   17    -0.86254    -0.75232    -2.60712     1.28582
   18     0.08466    -0.06892    -2.39599     1.66363
   19    -0.79907    -0.11139    -1.71308     1.95842
   20     0.18390    -0.78813    -1.65091     1.28878
   21     1.01199    -0.91200    -2.48534     1.31938
   22     1.77048    -0.01166    -2.51222     2.48309
   23     0.86221    -0.01404    -1.56028     2.14954
   24     1.68764    -0.80152    -1.58555     2.15593
   26    -1.80601     1.68502    -2.38584     2.41537
   29    -1.09935     0.69685    -2.56820     2.64915
   30    -0.28631     1.69008    -2.55256     1.64498
   31    -0.84230     1.77178    -1.61317     1.96174
   32     0.05629     0.91551    -1.74642     2.51860
   33     0.73989     0.97507    -2.61139     2.46344
   34     1.68639     1.78375    -2.46141     2.29771
   35     0.86343     1.82123    -1.82194     1.86955
   38    -1.60727    -1.55964    -1.08527     2.13453
   41    -0.84896    -2.44362    -0.60189     2.19898
   42     0.10174    -1.77220    -0.68149     1.83423
   43    -0.82126    -1.61315     0.08127     2.57505
   44    -0.01323    -2.53705     0.15677     2.50670
   45     0.81763    -2.53090    -0.81752     2.05658
   46     1.70696    -1.60736    -0.76708     2.46172
   47     0.81980    -1.61004     0.13659     2.53968
   53    -0.73527    -0.80314    -0.85412     2.02365
   54    -0.09910     0.04606    -0.95398     2.35889
   56     0.03561    -0.84798    -0.02901     2.63269
   57     0.80774    -0.94536    -0.78104     2.07259
   66     0.02312     1.68759    -0.79905     2.36155
   74    -1.74452    -1.72551     0.93666     2.34159
   75    -2.59860    -1.63568     1.70078     2.60372
   76    -1.70934    -2.50961     1.63362     2.06072
   77    -0.88477    -2.55197     0.81920     2.08343
   78    -0.02695    -1.66417     0.90452     1.62481
   79    -0.82511    -1.70314     1.55124     1.26173
   80    -0.05181    -2.60902     1.53442     1.33041
   81     0.81586    -2.48541     0.91677     1.97117
   82     1.66950    -1.74633     0.84823     2.38761
   83     0.82472    -1.77330     1.68748     1.19771
   84     1.77061    -2.52949     1.73772     2.12216
   88    -1.64017    -0.79619     1.61875     2.07171
   89    -0.60307    -0.62585     0.81582     2.11470
   90     0.20513     0.21998     0.83032     2.59210
   91    -0.68461     0.00855     1.67211     2.04208
   92    -0.00114    -0.95411     1.79835     1.06178
   93     0.85574    -0.94904     0.90304     2.00553
   95     0.81705     0.11225     1.78358     2.15446
   96     1.64049    -0.92043     1.60974     2.06663
  102     0.05635     1.67028     0.80977     2.37940
  103    -0.84826     1.66708     1.54481     2.08657
  104    -0.08748     0.81521     1.75765     2.61555
  107     0.87042     1.62857     1.51847     2.15993

List of neighbours of atom =     7
   Position of atom     7 =     -0.75199    -1.42334    -1.71307
   Number of neighbours    =    59
   Index       Position (reduced units)    Distance (reduced units)
    8    -0.00409    -2.60286    -1.72350     1.39669
    9     0.61491    -2.58963    -2.67224     2.03682
   10     1.70229    -1.76287    -2.48345     2.59466
   11     0.86774    -1.75363    -1.60462     1.65661
   13    -2.53952    -0.89073    -2.40280     1.98864
   14    -1.82498    -0.05379    -2.68761     1.99417
   15    -2.62106     0.09831    -1.54727     2.41585
   16    -1.74249    -0.59686    -1.71990     1.29004
   17    -0.86254    -0.75232    -2.60712     1.12330
   18     0.08466    -0.06892    -2.39599     1.73229
   19    -0.79907    -0.11139    -1.71308     1.31279
   20     0.18390    -0.78813    -1.65091     1.13280
   21     1.01199    -0.91200    -2.48534     1.99236
   23     0.86221    -0.01404    -1.56028     2.14828
   24     1.68764    -0.80152    -1.58555     2.52085
   26    -1.80601     1.68502    -2.38584     2.30004
   28    -1.68438     0.70969    -1.68816     2.32804
   29    -1.09935     0.69685    -2.56820     2.31238
   30    -0.28631     1.69008    -2.55256     2.15143
   31    -0.84230     1.77178    -1.61317     1.84858
   32     0.05629     0.91551    -1.74642     2.47480
   35     0.86343     1.82123    -1.82194     2.41674
   37    -2.52446    -2.51491    -0.77917     2.28152
   38    -1.60727    -1.55964    -1.08527     1.06968
   39    -2.48533    -1.55306    -0.02588     2.42238
   40    -1.78655    -2.49362     0.03613     2.29685
   41    -0.84896    -2.44362    -0.60189     1.51166
   42     0.10174    -1.77220    -0.68149     1.38372
   43    -0.82126    -1.61315     0.08127     1.80568
   44    -0.01323    -2.53705     0.15677     2.29835
   45     0.81763    -2.53090    -0.81752     2.11953
   46     1.70696    -1.60736    -0.76708     2.64105
   47     0.81980    -1.61004     0.13659     2.43447
   49    -2.39731    -0.84418    -0.86418     1.93987
   50    -1.57191     0.12751    -0.82291     1.96718
   52    -1.49681    -0.78940    -0.16641     1.82997
   53    -0.73527    -0.80314    -0.85412     1.05958
   54    -0.09910     0.04606    -0.95398     1.77809
   55    -0.75833     0.02525    -0.06064     2.19748
   56     0.03561    -0.84798    -0.02901     1.94613
   57     0.80774    -0.94536    -0.78104     1.87879
   59     0.72325     0.02063    -0.20251     2.55795
   62    -1.66666     1.65655    -0.66997     2.40041
   65    -0.70898     0.89370    -0.93173     2.44560
   66     0.02312     1.68759    -0.79905     2.26999
   67    -0.71987     1.61456     0.07900     2.68628
   74    -1.74452    -1.72551     0.93666     2.60462
   75    -2.59860    -1.63568     1.70078     2.46891
   76    -1.70934    -2.50961     1.63362     2.22705
   78    -0.02695    -1.66417     0.90452     2.53888
   79    -0.82511    -1.70314     1.55124     1.79789
   80    -0.05181    -2.60902     1.53442     2.25939
   83     0.82472    -1.77330     1.68748     2.30050
   88    -1.64017    -0.79619     1.61875     2.02384
   89    -0.60307    -0.62585     0.81582     2.63776
   91    -0.68461     0.00855     1.67211     2.18844
   92    -0.00114    -0.95411     1.79835     1.76545
   95     0.81705     0.11225     1.78358     2.68293
  103    -0.84826     1.66708     1.54481     2.64142

List of neighbours of atom =     8
   Position of atom     8 =     -0.00409    -2.60286    -1.72350
   Number of neighbours    =    59
   Index       Position (reduced units)    Distance (reduced units)
    9     0.61491    -2.58963    -2.67224     1.13289
   10     1.70229    -1.76287    -2.48345     2.04814
   11     0.86774    -1.75363    -1.60462     1.22288
   12     1.71689    -2.54461    -1.55753     1.72995
   16    -1.74249    -0.59686    -1.71990     2.65445
   17    -0.86254    -0.75232    -2.60712     2.22311
   18     0.08466    -0.06892    -2.39599     2.59506
   19    -0.79907    -0.11139    -1.71308     2.61525
   20     0.18390    -0.78813    -1.65091     1.82589
   21     1.01199    -0.91200    -2.48534     2.11468
   23     0.86221    -0.01404    -1.56028     2.60374
   24     1.68764    -0.80152    -1.58555     2.47504
   26    -1.80601     1.68502    -2.38584     2.06142
   27    -2.54312     1.57079    -1.52134     2.65295
   28    -1.68438     0.70969    -1.68816     2.40925
   29    -1.09935     0.69685    -2.56820     2.22204
   30    -0.28631     1.69008    -2.55256     1.15034
   31    -0.84230     1.77178    -1.61317     1.07510
   32     0.05629     0.91551    -1.74642     1.52178
   33     0.73989     0.97507    -2.61139     1.86439
   34     1.68639     1.78375    -2.46141     1.95642
   35     0.86343     1.82123    -1.82194     1.06777
   36     1.54787     0.91445    -1.72500     2.17336
   37    -2.52446    -2.51491    -0.77917     2.69109
   38    -1.60727    -1.55964    -1.08527     2.01639
   40    -1.78655    -2.49362     0.03613     2.50706
   41    -0.84896    -2.44362    -0.60189     1.41321
   42     0.10174    -1.77220    -0.68149     1.33678
   43    -0.82126    -1.61315     0.08127     2.21461
   44    -0.01323    -2.53705     0.15677     1.88144
   45     0.81763    -2.53090    -0.81752     1.22524
   46     1.70696    -1.60736    -0.76708     2.19851
   47     0.81980    -1.61004     0.13659     2.26373
   48     1.64730    -2.46767    -0.07034     2.34058
   53    -0.73527    -0.80314    -0.85412     2.12825
   54    -0.09910     0.04606    -0.95398     2.51249
   56     0.03561    -0.84798    -0.02901     2.43978
   57     0.80774    -0.94536    -0.78104     2.07234
   62    -1.66666     1.65655    -0.66997     2.11695
   65    -0.70898     0.89370    -0.93173     1.87142
   66     0.02312     1.68759    -0.79905     1.18968
   67    -0.71987     1.61456     0.07900     2.10617
   68     0.04871     0.79320    -0.06998     2.33141
   69     0.65225     0.90100    -0.89546     1.86345
   70     1.57834     1.65415    -0.87962     1.95637
   71     0.83352     1.67751    -0.04025     2.02734
   76    -1.70934    -2.50961     1.63362     2.39679
   77    -0.88477    -2.55197     0.81920     2.64739
   78    -0.02695    -1.66417     0.90452     2.58717
   79    -0.82511    -1.70314     1.55124     2.14369
   80    -0.05181    -2.60902     1.53442     1.78152
   81     0.81586    -2.48541     0.91677     2.53753
   83     0.82472    -1.77330     1.68748     2.00621
   84     1.77061    -2.52949     1.73772     2.37565
   92    -0.00114    -0.95411     1.79835     2.24042
  102     0.05635     1.67028     0.80977     2.62059
  103    -0.84826     1.66708     1.54481     2.10673
  104    -0.08748     0.81521     1.75765     2.24942
  107     0.87042     1.62857     1.51847     2.15527

List of neighbours of atom =     9
   Position of atom     9 =      0.61491    -2.58963    -2.67224
   Number of neighbours    =    58
   Index       Position (reduced units)    Distance (reduced units)
   10     1.70229    -1.76287    -2.48345     1.37898
   11     0.86774    -1.75363    -1.60462     1.37936
   12     1.71689    -2.54461    -1.55753     1.56811
   13    -2.53952    -0.89073    -2.40280     2.55141
   17    -0.86254    -0.75232    -2.60712     2.35856
   18     0.08466    -0.06892    -2.39599     2.58808
   20     0.18390    -0.78813    -1.65091     2.11526
   21     1.01199    -0.91200    -2.48534     1.73409
   24     1.68764    -0.80152    -1.58555     2.35138
   25    -2.69245     0.87266    -2.48011     2.34949
   26    -1.80601     1.68502    -2.38584     2.55475
   27    -2.54312     1.57079    -1.52134     2.37347
   29    -1.09935     0.69685    -2.56820     2.45358
   30    -0.28631     1.69008    -2.55256     1.18436
   31    -0.84230     1.77178    -1.61317     1.92455
   32     0.05629     0.91551    -1.74642     1.87649
   33     0.73989     0.97507    -2.61139     1.48063
   34     1.68639     1.78375    -2.46141     1.27878
   35     0.86343     1.82123    -1.82194     1.08585
   36     1.54787     0.91445    -1.72500     2.03052
   37    -2.52446    -2.51491    -0.77917     2.68274
   41    -0.84896    -2.44362    -0.60189     2.53980
   42     0.10174    -1.77220    -0.68149     2.21238
   44    -0.01323    -2.53705     0.15677     2.29793
